EFX Type,CRC-32 Int,CRC Hex
-1230y_jimen,4130142532,44F92CF6
-1230y_jimen0,1470011868,DC999E57
-1230y_stone,1309497304,D8570D4E
-z,786182093,CD2FDC2E
-z_MOD_sct,3852313085,FDA19DE5
-z_R_h_smoke,1281432169,691A614C
-z_R_h_smoke0,318474314,4A88FB12
-z_a_,3839679649,A1DCDCE4
-z_a_010,3200119249,D1F1BDBE
-z_a_0100,3618860831,1F6FB3D7
-z_a_01000,2869333558,368E06AB
-z_blood02,204088931,63262A0C
-z_blood020,4067306088,682A6EF2
-z_bloodc,1851743159,B75B5F6E
-z_r_00,2202667429,A5094A83
-z_scat,3298204584,A89B96C4
-z_scat0,4262497773,ED8D10FE
-z_scat00,4171022052,E4BE9CF8
-z_tubu,499130246,861FC01D
0,186917086,DE20240B
00,1203366751,5FEBB947
000,3712664866,22C54ADD
0000,4083432333,8D3B64F3
00_,4700651,EBB94700
00_0,285297893,E54C0111
00_00,4138215191,1727A8F6
00_01,2175735681,8117AF81
00_1,1711701107,737C0666
00_10,4021491286,5616B3EF
00_100,2755557243,7B773EA4
00_11,2561943232,C026B498
00_12,29194106,7A77BD01
00_13,1991919596,EC47BA76
00_14,3906916943,4FD2DEE8
00_15,2681856729,D9E2D99F
00_16,114340707,63B3D006
00_17,1909949429,F583D771
00_18,3781729892,649E68E1
00_19,2523901682,F2AE6F96
00_2,4279184841,C92D0FFF
00_20,3298706837,95459EC4
00_21,3013178627,037599B3
00_22,714089657,B924902A
00_23,1570182191,2F14975D
00_24,3287515532,8C81F3C3
00_25,3035935002,1AB1F4B4
00_26,771612832,A0E0FD2D
00_27,1526386742,36D0FA5A
00_28,3393572263,A7CD45CA
00_29,3175284017,31FD42BD
00_3,2282233183,5F1D0888
00_30,3716510932,D47485DD
00_31,2860663874,424482AA
00_32,864753144,F8158B33
00_33,1150035310,6E258C44
00_34,3672682701,CDB0E8DA
00_35,2918154331,5B80EFAD
00_36,887542241,E1D1E634
00_37,1138876791,77E1E143
00_38,3546217702,E6FC5ED3
00_39,2757348464,70CC59A4
00_4,376211708,FC886C16
00_40,2462376467,13E2C492
00_41,3854815877,85D2C3E5
00_42,2093646655,3F83CA7C
00_43,198030249,A9B3CD0B
00_44,2510890506,0A26A995
00_45,3803059868,9C16AEE2
00_46,2074560294,2647A77B
00_47,211842992,B077A00C
00_48,2619304481,216A1F9C
00_49,3944241847,B75A18EB
00_5,1634449514,6AB86B61
00_50,2346701650,52D3DF8B
00_51,4242072516,C4E3D8FC
00_52,1708241534,7EB2D165
00_53,316048104,E882D612
00_54,2360481611,4B17B28C
00_55,4222953437,DD27B5FB
00_56,1656518247,6776BC62
00_57,364594929,F146BB15
00_58,2231655264,605B0485
00_59,4060310518,F66B03F2
00_6,4167231952,D0E962F8
00_60,2700247185,9180F2A0
00_61,3623202823,07B0F5D7
00_62,1325195709,BDE1FC4E
00_63,972804395,2BD1FB39
00_64,2812232840,88449FA7
00_65,3499652126,1E7498D0
00_66,1234249124,A4259149
00_67,1050023218,3215963E
00_68,2921924771,A30829AE
00_69,3643684917,35382ED9
00_7,2405816646,46D9658F
00_70,3119100368,D0B1E9B9
00_71,3471737158,4681EECE
00_72,1474810108,FCD0E757
00_73,551608426,6AE0E020
00_74,3196351945,C97584BE
00_75,3380823391,5F4583C9
00_76,1351226597,E5148A50
00_77,663561331,73248D27
00_78,3073522146,E23932B7
00_79,3224701300,740935C0
00_8,534430935,D7C4DA1F
00_80,1047637279,1FAD713E
00_81,1232510345,899D7649
00_82,3498036275,33CC7FD0
00_83,2809724069,A5FC78A7
00_84,958163206,06691C39
00_85,1310415248,90591B4E
00_86,3608283178,2A0812D7
00_87,2685745340,BC3815A0
00_88,816457005,2D25AA30
00_89,1202525627,BB15AD47
00_9,1759376449,41F4DD68
00_90,661298270,5E9C6A27
00_91,1349364936,C8AC6D50
00_92,3378838898,72FD64C9
00_93,3194211812,E4CD63BE
00_94,537352263,47580720
00_95,1459644625,D1680057
00_96,3456711019,6B3909CE
00_97,3104705021,FD090EB9
00_98,699470956,6C14B129
00_99,1588995322,FA24B65E
00_Aura,585565501,3D05E722
00_Gpu,42834307,83998D02
00_Gpu0,1382707119,AF6F6A52
00_H_nomal,1629992106,AAB42761
00_H_nomal0,280714734,EE5DBB10
00_H_nomal1,1740402040,786DBC67
00_Hamon,2849147953,318CD2A9
00_JFdown,593242724,642A5C23
00_JFdown0,1814415815,C7C9256C
00_JFdown00,599081590,7642B523
00_JFdown01,1420980960,E072B254
00_JFdown02,3451593562,5A23BBCD
00_JFover,2338265350,06195F8B
00_JFover0,3476146816,80CA31CF
00_JFover00,3417211462,4682AECB
00_JFover01,3165237968,D0B2A9BC
00_JFover02,631300970,6AE3A025
00_JFunder0,1525252335,EF80E95A
00_JFunder00,372647621,C5263616
